,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita
80,"Na Chmelnicích, Plzeň - Severní Předměstí",4 990 000 Kč za nemovitost,42639,Včera,Cihlová,Velmi dobrý,Osobní,,11. podlaží,52 m2,1,Ihned,Dálkový vodovod,Ústřední dálkové,,,,Třída G - Mimořádně nehospodárná,,,Částečně,1,"Broker Consulting, a.s.",909.421052631579,83,,,,,,,,,1,,1,,,,,,4500,,,,,,,,,,,,,,,,,,
81,"Zdislavická, Praha 4 - Kamýk",4 250 000 Kč za nemovitost,42734,Včera,Panelová,Velmi dobrý,Družstevní,,5. podlaží,36 m2,3 m2,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Silnice, MHD, Autobus",Betonová,Třída C - Úsporná,Zobrazit průkaz energetické náročnosti budovy,,Částečně,1,"Broker Consulting, a.s.",772.85,84,,Veřejná kanalizace,"Telefon, Internet",,,,1994,včetně provize a právního servisu,,,,,Plynovod,,,,2730,,,,,,,,,,,,,,,,,,
82,"Slunečná, Brno - Nový Lískovec",6 190 000 Kč za nemovitost,36585,Včera,Panelová,Velmi dobrý,Družstevní,,1. podlaží,92 m2,1,Ihned,,Ústřední dálkové,,,,Třída G - Mimořádně nehospodárná,,,,1,"Broker Consulting, a.s.",917.15,85,,,,,,,,,,,1,,,,,,7300,,,,,,,,,,,,,,,,,,
83,"Nová Role, okres Karlovy Vary",6 440 000 Kč za nemovitost,34071,Včera,Cihlová,Novostavba,Osobní,,6. podlaží,139 m2,,01.07.2023,,,,,,Třída B - Velmi úsporná,Zobrazit průkaz energetické náročnosti budovy,,,,"Broker Consulting, a.s.",1573.5294117647059,86,,,,,68 m2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rezervováno,
84,"Kamenný vrch, Chomutov",,0032-NP07779,Včera,Panelová,Dobrý,Osobní,Sídliště,6. podlaží z celkem 9,67 m2,,,Dálkový vodovod,,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,0,1,RE/MAX 4 You,1041.7777777777778,87,,Veřejná kanalizace,,67 m2,,,,cena u makléře,,,1,,Plynovod,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
85,"Petra Křičky, Ostrava - Moravská Ostrava",,N2214890,Včera,Panelová,Velmi dobrý,Družstevní,,13. podlaží,26 m2,1,,Dálkový vodovod,Ústřední dálkové,230V,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,Částečně,1,HVB Real Estate,556.1,88,,,"Internet, Kabelová televize",26 m2,,,,"Info v RK (Včetně advokátní úschovy, právního servisu a provize. Financování pomůžeme vyřídit.)",,,,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
86,"Zacharská, Praha 9 - Kyje",,14421386,Včera,Panelová,Velmi dobrý,Osobní,Klidná část obce,4. podlaží z celkem 4 včetně 1 podzemního,77 m2,4 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, MHD",Asfaltová,Třída G - Mimořádně nehospodárná,,,Částečně,0,4fin Reality Better together Praha - Ke Štvanici,1141.3809523809523,89,6 m2,Veřejná kanalizace,Internet,68 m2,,,,"dohodou, včetně provize, včetně právního servisu, cena k jednání",1,,,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz (k jednání),,,,,,
87,"Vršovická, Praha 10 - Vršovice",23 000 000 Kč za nemovitost,14421923,Včera,Cihlová,Novostavba,Osobní,Centrum obce,6. podlaží z celkem 7 včetně 2 podzemních,126 m2,2 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,1,Částečně,1,4fin Reality Better together Praha - Ke Štvanici,431.35,90,,Veřejná kanalizace,"Internet, Kabelová televize",,52 m2,1,,"včetně provize, včetně právního servisu",1,,,,,"108,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,"3,2 m",,,,,
88,"Kamenná, Chomutov",715 000 Kč za nemovitost,732,Včera,Panelová,Po rekonstrukci,Družstevní,,3. podlaží z celkem 1,36 m2,,Ihned,Dálkový vodovod,Ústřední dálkové,,,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,,0,,1,Filip Herich - REALITY HERICH,973.7777777777778,91,,Veřejná kanalizace,,36 m2,,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
89,"Prorektorská, Praha 10 - Malešice",7 900 000 Kč za nemovitost,LK144931,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží z celkem 4,78 m2,,,Dálkový vodovod,Ústřední dálkové,"230V, 400V",,,Třída C - Úsporná,,,1,1,Duna House,769.6190476190476,92,,Veřejná kanalizace,,78 m2,,1,2005,,1,,15 m2,,,,,,,,,,,,,,,,,,,,,,,,
90,"Na Kališti, Chýně",6 990 000 Kč za nemovitost,00003,Včera,Skeletová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží,75 m2,,,Dálkový vodovod,Lokální elektrické,230V,"Vlak, MHD",Asfaltová,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,,0,Částečně,0,Iveta Jakubíková-reality,1596.6666666666667,93,,Veřejná kanalizace,Internet,75 m2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Přímá, Děčín - Děčín XXXII-Boletice nad Labem",1 490 000 Kč za nemovitost (k jednání),00028,Včera,Cihlová,Velmi dobrý,Osobní,Okraj obce,3. podlaží z celkem 4 včetně 1 podzemního,53 m2,1 m2,,Dálkový vodovod,Ústřední dálkové,230V,"MHD, Autobus",Asfaltová,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,0,,0,Iveta Jakubíková-reality,1431.2777777777778,94,2 m2,Veřejná kanalizace,Internet,50 m2,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,
92,"Osadní, Praha 7 - Holešovice",5 550 000 Kč za nemovitost,00029,Včera,Cihlová,Dobrý,Osobní,Centrum obce,3. podlaží z celkem 7 včetně 1 podzemního,50 m2,6 m2,,Dálkový vodovod,Lokální plynové,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,0,Částečně,1,Iveta Jakubíková-reality,439.1,95,,Veřejná kanalizace,"Internet, Kabelové rozvody",45 m2,,,,Cena je pevná včetně provize a právního servisu,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
93,"Brno - Staré Brno, okres Brno-město",4 390 000 Kč za nemovitost,E1267B050,Včera,Cihlová,Dobrý,Osobní,Centrum obce,3. podlaží včetně 1 podzemního,51 m2,6 m2,,Dálkový vodovod,Lokální plynové,"230V, 400V","Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,0,1,COLOSEUM NEMOVITOSTI,607.05,97,,Veřejná kanalizace,,,,,,,,,2 m2,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
94,"Jezdecká, Děčín - Děčín III-Staré Město",,0024-NP05688,Včera,Panelová,Velmi dobrý,Družstevní,Centrum obce,5. podlaží z celkem 8,36 m2,,Ihned,,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,,Částečně,1,RE/MAX G8 Reality,453.1111111111111,98,,Veřejná kanalizace,,36 m2,,,,,,,,Ne,Plynovod,,1 490 000 Kč za nemovitost,1 650 000 Kč,,,,,,,,,,,,,,,,,,,
95,"Na Zlíchově, Praha 5 - Hlubočepy",4 668 000 Kč za nemovitost,30393,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží z celkem 3,39 m2,1,,Dálkový vodovod,Lokální plynové,230V,Autobus,,Třída G - Mimořádně nehospodárná,,,0,,Home4People - Peter Rod,1021.7142857142857,99,,,,39 m2,,,,Cena včetně provize a právního servisu,,,,,Individuální,,,,,,,,,,,,,,,,,,,,,,
96,"Komenského, Krupka - Bohosudov",,9659,Včera,Panelová,Dobrý,Osobní,,5. podlaží z celkem 7,82 m2,1,Ihned,Dálkový vodovod,,,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,,1,Pavel Kuchynka Reality,694.9411764705883,100,3 m2,Veřejná kanalizace,"Kabelová televize, Kabelové rozvody",79 m2,,,,,,,,,,,2 250 000 Kč za nemovitost,2 590 000 Kč,,,,,,,,,,,,,,,,,,,
97,"V Domkách, Duchcov",1 190 000 Kč za nemovitost,9664,Včera,Smíšená,Dobrý,Družstevní,,2. podlaží z celkem 4,61 m2,1,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,,,Pavel Kuchynka Reality,751.0,101,,Veřejná kanalizace,Kabelové rozvody,61 m2,,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
98,"Ječná, Hostivice",5 990 000 Kč za nemovitost,LK144520,Včera,Cihlová,Novostavba,Osobní,Klidná část obce,5. podlaží z celkem 5,62 m2,,,Dálkový vodovod,Ústřední plynové,"230V, 400V",,,Třída B - Velmi úsporná,,,,1,Duna House,2039.157894736842,102,,Veřejná kanalizace,,62 m2,16 m2,1,2018,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"V olšinách, Praha 10 - Strašnice",8 500 000 Kč za nemovitost,11721,Včera,Cihlová,Velmi dobrý,Osobní,,5. podlaží z celkem 5,70 m2,,Ihned,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,0,Částečně,1,Milan Škoda - QARA s.r.o.,730.952380952381,103,,Veřejná kanalizace,"Internet, Kabelové rozvody",70 m2,6 m2,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
100,"Sídliště, Žebrák",3 290 000 Kč za nemovitost (k jednání),N10217,Včera,Panelová,Dobrý,Osobní,,1. podlaží z celkem 4,76 m2,1,,,Ústřední dálkové,230V,"MHD, Autobus",,Třída G - Mimořádně nehospodárná,,,,0,iRealitka.cz,902.9375,104,,,,72 m2,,,,Včetně provize a právního servisu. Cena k jednání.,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Školní, Rakovník - Rakovník II",4 350 000 Kč za nemovitost (k jednání),N10212,Včera,Panelová,Velmi dobrý,Osobní,,4. podlaží z celkem 4,95 m2,1,,,Ústřední dálkové,230V,"Vlak, MHD, Autobus",,Třída D - Méně úsporná,,,,0,iRealitka.cz,666.2941176470588,105,1,,,91 m2,,1,,Včetně provize a právního servisu. Cena k jednání.,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Pitkovická, Praha 10 - Strašnice",16 987 000 Kč za nemovitost,N561,Včera,Cihlová,Velmi dobrý,Osobní,Centrum obce,2. podlaží z celkem 3 včetně 1 podzemního,147 m2,15 m2,Ihned,Dálkový vodovod,,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná,,,Částečně,0,Filip Král Reality,706.047619047619,106,,,"Telefon, Internet",140 m2,7 m2,1,,"Prodej garáže není podmínkou koupě, podrobnější informace na vyžádání",,,7 m2,,Plynovod,,,,,400 m2,,,,,,,,,,,,,,,,,
103,"V Třešňovce, Praha 9 - Hrdlořezy",16 789 000 Kč za nemovitost,N560,Včera,Smíšená,Novostavba,Osobní,Klidná část obce,1. podlaží z celkem 6 včetně 1 podzemního,258 m2,3 m2,,"Místní zdroj, Dálkový vodovod",,,"Vlak, Dálnice, Silnice, MHD, Autobus",,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,Částečně,1,Filip Král Reality,800.0,107,,,"Telefon, Internet, Satelit, Kabelová televize",84 m2,10 m2,1,,"Poplatek do FO 1262,- Kč",1,,8 m2,,,,,,,154 m2,,,,,,,,,,,,,,,,,
104,"Komenského, Horoměřice",5 200 000 Kč za nemovitost,N566,Včera,Smíšená,Novostavba,Družstevní,Klidná část obce,2. podlaží z celkem 3,57 m2,,,Dálkový vodovod,,230V,"Dálnice, Silnice, MHD, Autobus",,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,,,Částečně,0,Filip Král Reality,1814.15,108,,,"Telefon, Internet",47 m2,,,,"Měsíční náklady na služby 2984,- Kč včetně fondu oprav",1,,11 m2,,,,,,,,,,,,,,,,,,,,,,,,518000 Kč
105,"Stehlíkova, Plzeň - Jižní Předměstí",7 990 000 Kč za nemovitost,340,Včera,Cihlová,Novostavba,Osobní,,6. podlaží z celkem 13,97 m2,,Ihned,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD, Autobus","Dlážděná, Asfaltová",Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,0,,,AGbydleni.cz,355.8421052631579,109,,Veřejná kanalizace,Internet,92 m2,,,,"včetně části nábytku, kuchyňské linky se spotřebiči a krytého parkovacího stání",1,,1,,,,,,,,,,,,,,,,,,,,,,,,
106,"Nádražní, Stříbro",1 690 000 Kč za nemovitost,376,Včera,Cihlová,Velmi dobrý,Osobní,,3. podlaží z celkem 3,46 m2,,Ihned,Dálkový vodovod,Lokální plynové,230V,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,,,AGbydleni.cz,761.2857142857143,110,,Veřejná kanalizace,,42 m2,,,,,1,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
107,"Palackého, Stříbro",2 600 000 Kč za nemovitost,398,Včera,Panelová,Po rekonstrukci,Osobní,,3. podlaží z celkem 4,58 m2,3 m2,Ihned,Dálkový vodovod,Ústřední plynové,,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,,0,,,AGbydleni.cz,613.0714285714286,111,,Veřejná kanalizace,,55 m2,,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,
108,"Mokrá-Horákov - Mokrá, okres Brno-venkov",,313221022,Včera,Cihlová,Po rekonstrukci,Osobní,Klidná část obce,3. podlaží z celkem 4,65 m2,,,Dálkový vodovod,Ústřední plynové,230V,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,0,0,"ARTOSS realitní kancelář, s.r.o.",998.6666666666666,112,,Veřejná kanalizace,,,,,,"info v RK, včetně poplatků, včetně provize, včetně právního servisu",,,3 m2,,Plynovod,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
109,"Kryšpínova, Praha 10 - Dolní Měcholupy",13 590 000 Kč za nemovitost,,Včera,Smíšená,Novostavba,Družstevní,Klidná část obce,3. podlaží z celkem 4,107 m2,,,,,,,,,,1,1,1,KRISMA REALIT,1020.6666666666666,113,5 m2,,,,,,,+2% komise RK,1,,10 m2,Ano,,,,,,,,,,,2900821580,,,,,,,,,,,,
110,"Severní, Hradec Králové - Slezské Předměstí",2 590 000 Kč za nemovitost,124,Včera,Panelová,Velmi dobrý,Osobní,Klidná část obce,4. podlaží z celkem 4,32 m2,1,01.11.2022,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,,0,,0,David Benák,628.9473684210526,114,,Veřejná kanalizace,,32 m2,,,,,,,1,,,"249,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
111,"Litvínovská, Praha 9 - Prosek",7 490 000 Kč za nemovitost,00042,Včera,Panelová,Dobrý,Osobní,Sídliště,7. podlaží z celkem 8,74 m2,1 m2,,Dálkový vodovod,Ústřední dálkové,,"Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,,1,Reality JJ,805.4285714285714,115,6 m2,Veřejná kanalizace,,67 m2,,,,"včetně provize, včetně právního servisu",,,,,Plynovod,,,,,,,,,,,,,,,,,"2,6 m",,,,,
112,"Pustiměř, okres Vyškov",3 990 000 Kč za nemovitost,202275,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží,65 m2,1,,Dálkový vodovod,Ústřední plynové,230V,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,,0,LeoReal,1712.2307692307693,116,,Veřejná kanalizace,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Pešlova, Praha 9 - Vysočany",,N6217,Včera,Smíšená,Velmi dobrý,Osobní,,9. podlaží,162 m2,2 m2,,,,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,,1,,LUXENT - Exclusive Properties,503.5238095238095,117,,,,,45 m2,1,,info v RK,,,,,,"138,0 kWh/m^2 za rok",,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,
114,"nábř. Dr. Edvarda Beneše, Přerov - Přerov I-Město",2 490 000 Kč za nemovitost,00231,Včera,Cihlová,Velmi dobrý,Osobní,,4. podlaží z celkem 5,90 m2,1,,Dálkový vodovod,Ústřední dálkové,230V,MHD,Asfaltová,Třída D - Méně úsporná č. 78/2013 Sb. podle vyhlášky,,,,,PACÁK REALITY s.r.o.,720.8888888888889,118,,Veřejná kanalizace,,83 m2,,,,"včetně provize, včetně právního servisu",,,,,,"211,6 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,
115,"Jana a Jos. Kovářů, Ústí nad Orlicí",4 432 000 Kč za nemovitost,1074,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží z celkem 3,65 m2,,01.04.2023,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,653.2941176470588,119,,,,68 m2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Jana a Jos. Kovářů, Ústí nad Orlicí",4 552 000 Kč za nemovitost,1048,Včera,Cihlová,Velmi dobrý,Osobní,,1. podlaží z celkem 3,63 m2,,01.04.2023,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,653.2941176470588,120,,,,66 m2,14 m2,,,,1,,,,,,,,,46 m2,,,,,,,,,,,,,,,,,
117,"Jana a Jos. Kovářů, Ústí nad Orlicí",2 383 000 Kč za nemovitost,1076,Včera,Cihlová,Velmi dobrý,Osobní,,3. podlaží z celkem 3,33 m2,,01.04.2023,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,653.2941176470588,121,,,,34 m2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Jana a Jos. Kovářů, Ústí nad Orlicí",3 791 000 Kč za nemovitost,1049,Včera,Cihlová,Velmi dobrý,Osobní,,1. podlaží z celkem 3,54 m2,,01.04.2023,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,653.2941176470588,122,,,,55 m2,14 m2,,,,1,,,,,,,,,30 m2,,,,,,,,,,,,,,,,,
119,"Mánesova, Praha 2 - Vinohrady",16 750 000 Kč za nemovitost,1005,Včera,Cihlová,Po rekonstrukci,Osobní,,-2. podlaží z celkem 6,69 m2,3 m2,Ihned,,,,,,Třída C - Úsporná,,,,1,Homeland.cz,318.6,123,,,,81 m2,15 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Na hvězdárně, Praha 5 - Velká Chuchle",19 360 000 Kč za nemovitost,655,Včera,Cihlová,Novostavba,Osobní,,1. podlaží z celkem 3,136 m2,1,01.11.2022,,,,,,Třída B - Velmi úsporná,,,,1,Homeland.cz,1254.6666666666667,124,,,,,92 m2,1,,,1,,,,,,,,,102 m2,,,,,,,,,,,,,,,,,
