,link,location,Celková cena,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Sklep,Datum nastěhování,Voda,Topení,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Průkaz energetické náročnosti budovy,Bezbariérový,Vybavení,Výtah,companyName,proximityIndex,Index,Lodžie,Odpad,Telekomunikace,Plocha podlahová,Terasa,Garáž,Rok kolaudace,Poznámka k ceně,Parkování,Rok rekonstrukce,Balkón,Převod do OV,Plyn,Ukazatel energetické náročnosti budovy,Zlevněno,Původní cena,Náklady na bydlení,Plocha zahrady,Vyvolávací cena,Znalecký posudek,Minimální příhoz,Aukční jistina,ID,Druh dražby,Místo konání dražby,Datum konání dražby,Dražební vyhláška,Posudek znalce,Cena,Výška stropu,Datum ukončení výstavby,Datum zahájení prodeje,Typ bytu,Stav,Anuita,Plocha zastavěná,Počet bytů,Půdní vestavba,Datum prohlídky,Bazén,Minimální kupní cena,Termín 1. prohlídky,Termín 2. prohlídky,Datum prohlídky do
1880,"https://www.sreality.cz/detail/prodej/byt/1+1/ostrava-poruba-na-robinsonce/623322956
","Na Robinsonce, Ostrava - Poruba",2 150 000 Kč za nemovitost,,Včera,Panelová,Po rekonstrukci,Družstevní,,11. podlaží z celkem 12 včetně 1 podzemního,37 m2,1,,,,,,,,,,,1,Markéta Hrušková - realitní makléřka,884.7222222222222,1929,,,,,,,,včetně provize a právního servisu,,,,Ne,,,,,,,,,,,623322956,,,,,,,,,,,,,,,,,,,,,
1881,"https://www.sreality.cz/detail/prodej/byt/3+kk/harrachov-harrachov-/4112983884
","Harrachov, okres Jablonec nad Nisou",5 590 000 Kč za nemovitost,7009,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,1. podlaží z celkem 4,60 m2,4 m2,,Dálkový vodovod,Lokální plynové,230V,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,,1,,GEPARD REALITY/Tobi,971.0769230769231,1930,,Veřejná kanalizace,,56 m2,,,,,1,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,"https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stresovice-na-drackach/766129996
","Na Dračkách, Praha 6 - Střešovice",11 850 000 Kč za nemovitost,HMA1552-0001,Včera,Skeletová,Novostavba,Osobní,,1. podlaží z celkem 4,73 m2,6 m2,,,Lokální plynové,,,,,,,0,1,FARAON reality,842.15,1931,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,"https://www.sreality.cz/detail/prodej/byt/2+1/praha-zabehlice-pracska/3953031516
","Práčská, Praha 10 - Záběhlice",5 850 000 Kč za nemovitost,02878,Včera,Panelová,Dobrý,Osobní,,5. podlaží z celkem 7,54 m2,1,,Dálkový vodovod,,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,,1,Myšák reality,534.4285714285714,1932,,,,54 m2,,,,cena vč. provize rk,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,"https://www.sreality.cz/detail/prodej/byt/5+kk/praha-nove-mesto-ladova/3854956892
","Ladova, Praha 2 - Nové Město",29 750 000 Kč za nemovitost,02873,Včera,Cihlová,Velmi dobrý,Osobní,,7. podlaží z celkem 7,157 m2,1,Ihned,Dálkový vodovod,,,MHD,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,1,1,Myšák reality,651.3333333333334,1933,,,,157 m2,1,,,,,,,,Plynovod,,,,,,,,,,,,,,,,,,,,Mezonet,,,,,,,,,,,
1885,"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-machkova/821311308
","Machkova, Praha 4 - Chodov",6 500 000 Kč za nemovitost,11690/2918,Včera,Panelová,Po rekonstrukci,Osobní,,8. podlaží z celkem 8,64 m2,1,Ihned,,,,,,,,1,,1,Vladimír Koucký - QARA s.r.o.,830.047619047619,1934,1,,,64 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,"https://www.sreality.cz/detail/prodej/byt/4+kk/praha-podoli-milevska/770947420
","Milevská, Praha 4 - Podolí",,HMA1307-0001,Včera,Skeletová,Novostavba,Osobní,,24. podlaží z celkem 30,190 m2,,,,Lokální plynové,,,,,,,1,1,FARAON reality,712.35,1935,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,Informace o ceně na dotaz,,,,,,,,,,,,,,,
1887,"https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hostivar-chudenicka/1412355916
","Chudenická, Praha 10 - Hostivař",6 300 000 Kč za nemovitost,11568/2918,Včera,Panelová,Po rekonstrukci,Družstevní,,8. podlaží z celkem 8,81 m2,1,Ihned,,,,,,,,1,,1,Vladimír Koucký - QARA s.r.o.,781.0952380952381,1936,1,,,81 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zlicin-sazovicka/1653180236
","Sazovická, Praha 5 - Zličín",9 990 000 Kč za nemovitost,0258-NP00589,Včera,Smíšená,Velmi dobrý,Osobní,Centrum obce,5. podlaží z celkem 7,85 m2,2 m2,,,Ústřední dálkové,,,,Třída C - Úsporná č. 148/2007 Sb. podle vyhlášky,Zobrazit průkaz energetické náročnosti budovy,1,1,1,RE/MAX Miramar,908.1,1937,,Veřejná kanalizace,,80 m2,,1,2009,vč. služeb RK a právního servisu,,,5 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,"https://www.sreality.cz/detail/prodej/byt/2+1/praha-branik-zemanka/1064040012
","Zemanka, Praha 4 - Braník",8 345 000 Kč za nemovitost,02910,Včera,Cihlová,Velmi dobrý,Osobní,,2. podlaží z celkem 4,68 m2,1,,Dálkový vodovod,,,,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,Částečně,0,Myšák reality,1141.3333333333333,1938,1,,,65 m2,,1,,cena vč. provize rk,,,1,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,"https://www.sreality.cz/detail/prodej/byt/2+kk/kourim-kourim-mirove-namesti/3712952140
","Mírové náměstí, Kouřim",3 900 000 Kč za nemovitost,11693/2918,Včera,Cihlová,Po rekonstrukci,Osobní,,3. podlaží z celkem 3,102 m2,,Ihned,,,,"Vlak, Dálnice, Silnice, MHD, Autobus",,,,0,,,Vladimír Koucký - QARA s.r.o.,364.57142857142856,1939,,,,102 m2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,"https://www.sreality.cz/detail/prodej/byt/3+kk/hradec-kralove-slezske-predmesti-mysliveckova/4150667612
","Myslivečkova, Hradec Králové - Slezské Předměstí",,,Včera,Smíšená,Po rekonstrukci,Družstevní,,3. podlaží,65 m2,1,,Dálkový vodovod,Ústřední dálkové,230V,,Asfaltová,Třída C - Úsporná,Zobrazit průkaz energetické náročnosti budovy,,Částečně,,MAFA invest s.r.o.,533.7894736842105,1940,,Veřejná kanalizace,"Telefon, Internet, Kabelová televize, Kabelové rozvody",,,,,,,,1,,Plynovod,"81,0 kWh/m^2 za rok",,,,,,,,,4150667612,,,,,,Informace o ceně na dotaz (k jednání),,,,,,,,,,,,,,,
1892,"https://www.sreality.cz/detail/prodej/byt/3+kk/hradec-kralove-slezske-predmesti-markovicka/2767910732
","Markovická, Hradec Králové - Slezské Předměstí",,,Včera,Smíšená,Po rekonstrukci,Družstevní,,3. podlaží z celkem 4,60 m2,1,,,,,,,Třída C - Úsporná,,,,,MAFA invest s.r.o.,493.8421052631579,1941,,,,,,,,,,,1,,,,,,,,,,,,2767910732,,,,,,Informace o ceně na dotaz,,,,,,,,,,,,,,,
1893,"https://www.sreality.cz/detail/prodej/byt/3+1/trebic-nove-dvory-energetiku/458696524
","Energetiků, Třebíč - Nové Dvory",3 980 000 Kč za nemovitost,PRO256,Včera,Panelová,Velmi dobrý,Osobní,,7. podlaží z celkem 9 včetně 1 podzemního,70 m2,3 m2,,Dálkový vodovod,Ústřední dálkové,230V,"Vlak, Silnice, MHD",Asfaltová,Třída A - Mimořádně úsporná č. 78/2013 Sb. podle vyhlášky,,,Částečně,1,Realitní kancelář MICHÁLEK & PARTNERS,568.3888888888889,1942,,,Internet,70 m2,,,,,,,4 m2,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,"https://www.sreality.cz/detail/prodej/byt/1+kk/sezemice-sezemice-husovo-namesti/2630596956
","Husovo náměstí, Sezemice",2 770 000 Kč za nemovitost,54626,Včera,Cihlová,Novostavba,Osobní,Centrum obce,2. podlaží z celkem 2,37 m2,,,Dálkový vodovod,Ústřední plynové,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída C - Úsporná,,,,,EVROPA realitní kancelář HRADEC KRÁLOVÉ,1052.7857142857142,1943,,Veřejná kanalizace,,37 m2,,,,,,,,Ano,,,,,,,,,,,,,,,,,,,,,,,1 Kč,,,,,,,,,
1895,"https://www.sreality.cz/detail/prodej/byt/3+1/praha-krc-zalesi/2750752332
","Zálesí, Praha 4 - Krč",7 995 000 Kč za nemovitost,02926,Včera,Panelová,Po rekonstrukci,Osobní,,3. podlaží z celkem 12,70 m2,1,,Dálkový vodovod,,,MHD,,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,,,1,Myšák reality,806.9,1944,1,,,70 m2,,,,Cena včetně provize RK,,,1,,Plynovod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
