,location,Celková cena,Poznámka k ceně,ID zakázky,Aktualizace,Stavba,Stav objektu,Vlastnictví,Umístění objektu,Podlaží,Užitná plocha,Plocha podlahová,Terasa,Sklep,Parkování,Rok rekonstrukce,Voda,Topení,Odpad,Elektřina,Doprava,Komunikace,Energetická náročnost budovy,Bezbariérový,Výtah,companyName,proximityIndex,Index,Lodžie,Vybavení,Datum nastěhování,Plocha zastavěná,Balkón,Typ bytu,Garáž,Rok kolaudace,Telekomunikace,Ukazatel energetické náročnosti budovy,Průkaz energetické náročnosti budovy,Plocha zahrady,Zlevněno,Původní cena,Náklady na bydlení,Převod do OV,Plyn,Datum prohlídky,ID,Cena
21,"Na Hranici, Jablonec nad Nisou",3 300 000 Kč za nemovitost,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,808513,Včera,Cihlová,Dobrý,Osobní,Klidná část obce,4. podlaží z celkem 5 včetně 1 podzemního,84 m2,,,1,,,Dálkový vodovod,"Lokální plynové, Ústřední dálkové",Veřejná kanalizace,"120V, 230V","Vlak, Silnice, MHD, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,827.6111111111111,21,,Částečně,,,,,,,"Telefon, Internet",,,,,,,,,,,
22,"Na Baních, Praha 5 - Zbraslav",10 990 000 Kč za nemovitost,,19831,Dnes,Cihlová,Novostavba,Osobní,,3. podlaží z celkem 2,150 m2,150 m2,1,1,2,,,Jiné,,,,,Třída A - Mimořádně úsporná,,,Reality 11 VLTAVA,953.6470588235294,22,1,0,,,1,,,,,"58,0 kWh/m^2 za rok",,,,,,,,,,
23,"Puklicova, České Budějovice - České Budějovice 3",7 990 000 Kč za nemovitost (k jednání),"včetně poplatků, včetně provize, včetně právního servisu, cena k jednání",01697,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,5. podlaží z celkem 5,152 m2,126 m2,,5 m2,,,Dálkový vodovod,,Veřejná kanalizace,230V,"Vlak, Silnice, MHD, Autobus","Betonová, Dlážděná",Třída E - Nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,Jochmann reality,308.6666666666667,23,21 m2,1,,,,Mezonet,1,,Internet,"273,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,,,,,Plynovod,,,
24,"U Početky, Nymburk",5 500 000 Kč za nemovitost (k jednání),"včetně poplatků, včetně provize, včetně právního servisu, cena k jednání",01699,Dnes,Cihlová,Velmi dobrý,Osobní,Centrum obce,3. podlaží z celkem 3,85 m2,,,4 m2,,,Dálkový vodovod,Lokální elektrické,Veřejná kanalizace,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Jochmann reality,436.72222222222223,24,4 m2,Částečně,,,3 m2,,1,1972,"Internet, Ostatní",,,,,,,,Plynovod,01.10.2022 00:00,,
25,"Kosmonautů, Cheb",1 999 000 Kč za nemovitost (k jednání),"včetně poplatků, včetně provize, včetně právního servisu, cena k jednání",01703,Včera,Panelová,Velmi dobrý,Osobní,Centrum obce,5. podlaží z celkem 5,54 m2,,,2 m2,,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,0,Jochmann reality,597.6666666666666,25,,1,Ihned,,3 m2,,,,"Satelit, Kabelová televize, Ostatní",,,,,,,,Plynovod,12.10.2022 00:00,,
26,"Hroznová, České Budějovice - České Budějovice 1",5 447 000 Kč za nemovitost,"+ 21% DPH, bez DPH, včetně provize, včetně právního servisu",01621,Včera,Cihlová,Po rekonstrukci,Osobní,Centrum obce,1. podlaží z celkem 3,63 m2,,,,,2022,Dálkový vodovod,Ústřední plynové,Veřejná kanalizace,230V,"Vlak, Dálnice, Silnice, MHD, Autobus",Dlážděná,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,0,Jochmann reality,333.1111111111111,26,,Částečně,,,,,,,"Internet, Ostatní","76,0 kWh/m^2 za rok",,,,,,,,13.06.2022 00:00,,
27,"Ortenovo náměstí, Praha 7 - Holešovice",12 490 000 Kč za nemovitost (k jednání),"včetně poplatků, včetně provize, včetně právního servisu, cena k jednání",01647,Včera,Cihlová,Po rekonstrukci,Osobní,,7. podlaží,91 m2,,,,,2022,Dálkový vodovod,Ústřední plynové,Veřejná kanalizace,230V,"Vlak, MHD",,Třída G - Mimořádně nehospodárná,,1,Jochmann reality,547.8,27,,Částečně,,,,Podkrovní,,,Internet,,,,,,,,Plynovod,,,
28,"České Budějovice, okres České Budějovice",5 490 000 Kč za nemovitost (k jednání),"+ 200.000, - Kč za parkovací stání, včetně provize, včetně právního servisu, cena k jednání",01585,Včera,Cihlová,Novostavba,Osobní,,1. podlaží z celkem 3,73 m2,,,1,1,,Dálkový vodovod,Ústřední plynové,Veřejná kanalizace,230V,"Silnice, Autobus",Asfaltová,Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,0,Jochmann reality,287.0,28,,0,,,,Mezonet,,2019,Internet,"132,0 kWh/m^2 za rok",,,,,,,,,,
29,"Lidická tř., České Budějovice - České Budějovice 7",4 990 000 Kč za nemovitost (k jednání),"včetně provize, včetně právního servisu, cena k jednání",01507,Včera,Panelová,Velmi dobrý,Osobní,Rušná část obce,9. podlaží z celkem 9,70 m2,67 m2,,1,,,Dálkový vodovod,Ústřední plynové,Veřejná kanalizace,230V,"Vlak, Silnice, MHD, Autobus","Betonová, Dlážděná, Asfaltová",Třída C - Úsporná č. 78/2013 Sb. podle vyhlášky,,1,Jochmann reality,389.1111111111111,29,,Částečně,,,3 m2,,,,Internet,"87,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,
30,"Květná, Plzeň - Východní Předměstí",7 850 000 Kč za nemovitost,včetně provize RK,,Včera,Cihlová,Velmi dobrý,Osobní,Klidná část obce,2. podlaží z celkem 5,76 m2,,,2 m2,1,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Silnice, MHD",Asfaltová,Třída C - Úsporná,,1,REALITY LANGMAJER,629.4736842105264,30,,,,,4 m2,,,,,,,,,,,,,,3122382668,
31,"Josefa Ševčíka, Most",,Cena včetně veškerého pravního servisu.,802/3052,Včera,Panelová,Velmi dobrý,Družstevní,,2. podlaží z celkem 8,68 m2,68 m2,,1,,,Dálkový vodovod,Ústřední dálkové,Veřejná kanalizace,230V,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0,1,MOSTAV s.r.o.,530.1666666666666,31,1,,Ihned,,,,,,"Internet, Kabelová televize",,,,1 090 000 Kč za nemovitost,1 199 000 Kč,,,Plynovod,,,
32,"Pardubice, okres Pardubice",,volejte makléři,01091,Dnes,Panelová,Po rekonstrukci,Osobní,,7. podlaží,95 m2,,,1,,,,,,,"Vlak, MHD",,Třída B - Velmi úsporná č. 78/2013 Sb. podle vyhlášky,,,TL Real,237.77777777777777,32,,,,,1,,,,,"81,0 kWh/m^2 za rok",Zobrazit průkaz energetické náročnosti budovy,,,,,,,,,Informace o ceně na dotaz
33,"Kamelova, Praha 10 - Záběhlice",,Info k ceně po telefonu,N1666,Včera,Smíšená,Velmi dobrý,Osobní,Klidná část obce,6. podlaží z celkem 7 včetně 1 podzemního,96 m2,76 m2,19 m2,3 m2,1,,Dálkový vodovod,Ústřední dálkové,,"230V, 400V","Dálnice, Silnice, MHD, Autobus",,Třída C - Úsporná,,1,Markéta Komárková,576.5714285714286,33,,Částečně,,,,,,,Internet,,,,11 200 000 Kč za nemovitost,13 900 000 Kč,,,,,,
34,"Partyzánská, Rožnov pod Radhoštěm",2 815 000 Kč za nemovitost,,45075,Včera,Cihlová,Dobrý,Osobní,,2. podlaží z celkem 3,54 m2,,,,,,,,,,,,Třída G - Mimořádně nehospodárná,,,"Broker Consulting, a.s.",542.2941176470588,34,,,01.11.2022,,,,,,,,,,,,,,,,,
