,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání
2198,https://www.sreality.cz/detail/prodej/dum/rodinny/kamenne-zehrovice-kamenne-zehrovice-havirska/1490335308,"Havířská, Kamenné Žehrovice",kladno,"rodinne-domy
",6 190 000 Kč za nemovitost,21.10.2022,Cihlová,Dobrý,Samostatný,Patrový,2. podlaží z celkem 3 včetně 1 podzemního,318.0,105,105.0,474.0,156.0,15 m2,Ihned,Dálkový vodovod,,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,Částečně,KOMFORT REALITY,1451.4666666666667,2301,Nothing,400V,,Klidná část obce,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.127869,14.0202657,6190000,,,,,
342,https://www.sreality.cz/detail/prodej/dum/chalupa/stedra-brlozec-/266557004,"Štědrá - Brložec, okres Karlovy Vary",karlovy-vary,"chalupy
",1 150 000 Kč za nemovitost,13.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Přízemní,1,93.0,93,,1048.0,,1,,Dálkový vodovod,Lokální tuhá paliva,,,Autobus,,,,,Molík reality,2882.777777777778,358,Nothing,230V,,Klidná část obce,,,,,,,Satelit,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0596759,13.0683665,1150000,,,,,
768,https://www.sreality.cz/detail/prodej/dum/zemedelska-usedlost/nectiny-cestetin-/625014604,"Nečtiny - Čestětín, okres Plzeň-sever",plzen-sever,"zemedelske-usedlosti
",4 900 000 Kč za nemovitost,18.10.2022,Smíšená,Dobrý,Samostatný,Patrový,,,165,,1481.0,,1,,Místní zdroj,"Lokální tuhá paliva, Ústřední elektrické",,Septik,,,Třída G - Mimořádně nehospodárná,,,RK PUBEC,3522.428571428572,799,"včetně provize, včetně právního servisu",,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9720154,13.0983898,4900000,True,True,,,
4156,https://www.sreality.cz/detail/prodej/dum/chalupa/kaplice-mostky-/1713415756,"Kaplice - Mostky, okres Český Krumlov",cesky-krumlov,"chalupy
",6 895 000 Kč za nemovitost,26.09.2022,Cihlová,Novostavba,Samostatný,Patrový,1,44.0,85,,460.0,504.0,,,Místní zdroj,Lokální elektrické,,ČOV pro celý objekt,"Vlak, Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0.0,0,NEXT REALITY ČESKÉ BUDĚJOVICE,2107.25,4352,"Cena je uvedena včetně kompletních služeb RK (RP činí CZK 150 000,-).",230V,,Polosamota,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7303007,14.508255,6895000,,,,,
4221,https://www.sreality.cz/detail/prodej/dum/rodinny/pribraz-pribraz-/257046876,"Příbraz, okres Jindřichův Hradec",jindrichuv-hradec,"rodinne-domy
",4 996 000 Kč za nemovitost,21.10.2022,Smíšená,Dobrý,Rohový,Přízemní,,340.0,340,200.0,1225.0,732.0,,,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,,EVROPA realitní kancelář PRAHA,2069.7272727272725,4419,"včetně provize, včetně právního servisu","120V, 400V",,Centrum obce,1.0,,,,,,"Telefon, Internet, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,49.0512447,14.9376074,4996000,True,True,,,
5028,https://www.sreality.cz/detail/prodej/dum/rodinny/arnolec-arnolec-/2195302220,"Arnolec, okres Jihlava",jihlava,"rodinne-domy
",3 900 000 Kč za nemovitost,Včera,Cihlová,Dobrý,Samostatný,Přízemní,1,230.0,110,60.0,495.0,265.0,,,Dálkový vodovod,,,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,Realitní kancelář STING,2070.7,5254,cena k jednání,"230V, 400V",,Centrum obce,,1.0,2022.0,,,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4361356,15.8220169,3900000,,,,,True
2186,https://www.sreality.cz/detail/prodej/dum/rodinny/hostoun-hostoun-/359630668,"Hostouň, okres Kladno",kladno,"rodinne-domy
",10 955 780 Kč za nemovitost,21.10.2022,Cihlová,Po rekonstrukci,Samostatný,Patrový,,120.0,240,,744.0,624.0,,,"Místní zdroj, Dálkový vodovod","Ústřední tuhá paliva, Ústřední elektrické",,Veřejná kanalizace,"Vlak, Silnice, Autobus",,Třída G - Mimořádně nehospodárná,,,MAXIMA REALITY,1952.2666666666669,2289,Nothing,"230V, 400V",,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1143862,14.2012762,10955780,,,,,
1333,https://www.sreality.cz/detail/prodej/dum/rodinny/kryry-kryry-hlavni/3335506268,"Hlavní, Kryry",louny,"rodinne-domy
",3 449 000 Kč za nemovitost,06.10.2022,Cihlová,Dobrý,Řadový,Přízemní,1 včetně 2 podzemních,221.0,140,140.0,1803.0,1582.0,20 m2,,Dálkový vodovod,Lokální plynové,Plynovod,Veřejná kanalizace,"Silnice, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0.0,0,NEXT REALITY NOVÝ DOMOV,1312.428571428571,1393,"Cena je uvedena včetně právního servisu, služeb a provize RK.","230V, 400V",,Klidná část obce,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1737676,13.4249139,3449000,True,True,,,
3289,https://www.sreality.cz/detail/prodej/dum/chalupa/velka-lecice-velka-lecice-/2737575756,"Velká Lečice, okres Příbram",pribram,"chalupy
",2 349 000 Kč za nemovitost,Včera,Cihlová,Dobrý,,Patrový,2,119.0,150,,505.0,,,,Dálkový vodovod,Lokální tuhá paliva,,,,,Třída G - Mimořádně nehospodárná,,1,OMEGA REALITY,2676.0714285714284,3439,"<selenium.webdriver.remote.webelement.WebElement (session=""b0aef8c843c065071dd06ffb944cafe0"", element=""8388a392-4952-4437-9749-244b81659e76"")>",400V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8146086,14.3233771,2349000,,,,,
2401,https://www.sreality.cz/detail/prodej/dum/rodinny/brandysek-brandysek-nad-vodojemem/422962764,"Nad Vodojemem, Brandýsek",kladno,"rodinne-domy
",20 500 000 Kč za nemovitost,03.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,228.0,300,,800.0,,,,"Místní zdroj, Dálkový vodovod",,Plynovod,Veřejná kanalizace,,,Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,,1,RE/MAX Anděl,1168.1333333333334,2511,Nothing,"230V, 400V",,Klidná část obce,,,,,,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1918118,14.1560009,20500000,,,,,
3311,https://www.sreality.cz/detail/prodej/dum/chata/sedlcany-trebnice-/3578275660,"Sedlčany - Třebnice, okres Příbram",pribram,"chaty
",2 990 000 Kč za nemovitost,21.10.2022,Dřevěná,Velmi dobrý,Samostatný,Patrový,2,45.0,65,,402.0,,,,Studna,Lokální tuhá paliva,,Trativod,Silnice,Zpevněná,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,1,GEPARD REALITY/Tobi,2711.8,3461,Nothing,230V,,Polosamota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.65134,14.35886,2990000,,,,,
4774,https://www.sreality.cz/detail/prodej/dum/chalupa/chrbonin-chrbonin-/4184749900,"Chrbonín, okres Tábor",tabor,"chalupy
",2 900 000 Kč za nemovitost,21.10.2022,Kamenná,Dobrý,,Patrový,2,633.0,265,60.0,1472.0,839.0,,,Dálkový vodovod,,,Veřejná kanalizace,,Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,TIDE REALITY s.r.o.,1625.5,4992,Nothing,400V,,,2.0,,2014.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3586623,14.8642974,2900000,,,,,
33,https://www.sreality.cz/detail/prodej/dum/rodinny/drmoul-drmoul-hamrnicka/321996364,"Hamrnická, Drmoul",cheb,"rodinne-domy
",6 790 000 Kč za nemovitost (k jednání),14.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,2,81.0,493,122.0,371.0,,,,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,Částečně,RK23,1973.111111111111,33,"včetně provize, včetně právního servisu, cena k jednání","230V, 400V",,,,,,,,2005.0,"Internet, Ostatní",,,,,,,,,,,,,,,,,,,,,,,,,,,49.9428346,12.6692164,6790000,True,True,,,True
5555,https://www.sreality.cz/detail/prodej/dum/rodinny/hlusice-hlusice-/2817107532,"Hlušice, okres Hradec Králové",hradec-kralove,"rodinne-domy
",3 400 000 Kč za nemovitost,15.09.2022,Smíšená,Před rekonstrukcí,Samostatný,Přízemní,1,200.0,150,,840.0,,,,,,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,LET´S HOME,1200.4444444444443,5815,Nothing,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2645978,15.4032585,3400000,,,,,
3698,https://www.sreality.cz/detail/prodej/dum/vila/praha-smichov-k-zaverce/3661780556,"K Závěrce, Praha 5 - Smíchov",praha-5,"vily
",32 000 000 Kč za nemovitost,18.10.2022,Cihlová,Dobrý,V bloku,Patrový,5 včetně 1 podzemního,90.0,380,320.0,210.0,362.0,70 m2,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0.0,0,"Broker Consulting, a.s.",977.4761904761904,3867,Nothing,"230V, 400V",,,1.0,1.0,1980.0,0.0,,1980.0,Telefon,,1.0,,21000,,,,"2,8 m",,,,,,,,,,,,,,,,,,,50.0564233,14.399944,32000000,,,,,
5003,https://www.sreality.cz/detail/prodej/dum/chalupa/sloupno-sloupno-/426903116,"Sloupno, okres Havlíčkův Brod",havlickuv-brod,"chalupy
",1 890 000 Kč za nemovitost,17.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,2,,150,,1102.0,,,,Dálkový vodovod,Lokální tuhá paliva,,Jímka,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,2794.846153846154,5228,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Okraj obce,5.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7369857,15.7504616,1890000,,,,,
1449,https://www.sreality.cz/detail/prodej/dum/rodinny/dolanky-nad-ohri-dolanky-nad-ohri-/4103808588,"Dolánky nad Ohří, okres Litoměřice",litomerice,"rodinne-domy
",3 999 500 Kč za nemovitost,11.10.2022,Smíšená,Velmi dobrý,Řadový,Přízemní,2,301.0,214,,995.0,,,,,,Plynovod,"Septik, Jímka",,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,RE/MAX G8 Reality,2213.5333333333333,1515,"včetně provize, hypotečního a právního servisu",,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4729614,14.1632994,3999500,True,True,,,
2846,https://www.sreality.cz/detail/prodej/dum/rodinny/ohare--/3196205404,"Ohaře, okres Kolín",kolin,"rodinne-domy
",5 790 000 Kč za nemovitost,23.08.2022,Cihlová,Ve výstavbě,Samostatný,Přízemní,1,,210,,1062.0,,,,Místní zdroj,,,Veřejná kanalizace,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,,M&M reality,1736.4545454545455,2981,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0977815,15.295014,5790000,,,,,
3007,https://www.sreality.cz/detail/prodej/dum/na-klic/dobsice--/2983863884,"Dobšice, okres Nymburk",nymburk,"projekty-na-klic
",2 940 000 Kč za nemovitost,14.10.2022,Montovaná,Projekt,Samostatný,Patrový,2,86.0,110,,1.0,,,,,,,,,,Třída B - Velmi úsporná,,,Martin Chour,1857.0833333333333,3148,"na klíč, vč. zákl. desky a DPH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1324347,15.2686105,2940000,,,,,
3540,https://www.sreality.cz/detail/prodej/dum/chata/sykorice-sykorice-/4166481484,"Sýkořice, okres Rakovník",rakovnik,"chaty
",2 490 000 Kč za nemovitost,12.09.2022,Dřevěná,Dobrý,Samostatný,Patrový,,,70,,100.0,,4 m2,,Studna,Lokální tuhá paliva,,Septik,"Vlak, Dálnice, Silnice, Autobus",,,,Částečně,OAK real,1366.7272727272727,3701,"včetně provize, včetně právního servisu",230V,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0345837,13.9317219,2490000,True,True,,,
5251,https://www.sreality.cz/detail/prodej/dum/rodinny/nova-cerekev-prosec-oboriste-/3246499660,"Nová Cerekev - Proseč-Obořiště, okres Pelhřimov",pelhrimov,"rodinne-domy
",1 790 000 Kč za nemovitost,02.09.2022,Cihlová,Před rekonstrukcí,Samostatný,Přízemní,1,325.0,200,,562.0,,,,,,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,RE/MAX A-City,1577.9,5489,Nothing,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4204326,15.1166657,1790000,,,,,
2503,https://www.sreality.cz/detail/prodej/dum/rodinny/chrzin-budihostice-/160381020,"Chržín - Budihostice, okres Kladno",kladno,"rodinne-domy
",7 450 000 Kč za nemovitost,04.10.2022,Cihlová,Velmi dobrý,Samostatný,Přízemní,1,100.0,98,,528.0,,,,,,Plynovod,Veřejná kanalizace,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,RE/MAX Ambassador,1970.0,2618,Nothing,"230V, 400V",,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2950064,14.2533293,7450000,,,,,
4395,https://www.sreality.cz/detail/prodej/dum/undefined/nova-bystrice-nova-bystrice-mirove-nam-/3687168348,"Mírové nám., Nová Bystřice",jindrichuv-hradec,"vicegeneracni-domy
",7 960 000 Kč za nemovitost,30.08.2022,Smíšená,V rekonstrukci,Samostatný,Patrový,2,170.0,260,,778.0,,,Ihned,,,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,0,RE/MAX G8 Reality,472.4666666666666,4604,Nothing,,,Centrum obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0191896,15.1026581,7960000,,,,,
5343,https://www.sreality.cz/detail/prodej/dum/chata/vlkov-vlkov-/886253388,"Vlkov, okres Žďár nad Sázavou",zdar-nad-sazavou,"chaty
",790 000 Kč za nemovitost,14.10.2022,Smíšená,Dobrý,Samostatný,Patrový,2,36.0,45,,36.0,,4 m2,01.11.2022,,Jiné,,,,,,,,Česká Společnost Realitní / Nemovitosti pozemky s.r.o.,2522.4,5588,včetně provize a právního servisu,,,Samota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3243789,16.2002886,790000,True,True,,,
1777,https://www.sreality.cz/detail/prodej/dum/rodinny/chribska-dolni-chribska-/748824924,"Chřibská - Dolní Chřibská, okres Děčín",decin,"rodinne-domy
",4 299 000 Kč za nemovitost (k jednání),10.10.2022,Cihlová,Dobrý,Samostatný,Patrový,,522.0,220,,463.0,,1,,Dálkový vodovod,Ústřední tuhá paliva,,Trativod,Autobus,Asfaltová,Třída G - Mimořádně nehospodárná,,,EU - Grand Reality,1319.0,1867,cena k jednání,230V,,,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8579421,14.4671686,4299000,,,,,True
413,https://www.sreality.cz/detail/prodej/dum/chalupa/kraslice-kraslice-zadni/2203149900,"Zadní, Kraslice",sokolov,"chalupy
",2 999 999 Kč za nemovitost (k jednání),14.10.2022,Smíšená,Dobrý,Samostatný,Patrový,2,120.0,96,,1013.0,,,,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",Plynovod,Veřejná kanalizace,"Vlak, Silnice, MHD",Asfaltová,Třída G - Mimořádně nehospodárná,0.0,1,Král & Kulveit,901.0,432,Nothing,"230V, 400V",,Klidná část obce,1.0,20.0,,0.0,,,"Telefon, Internet",,,,,,,,,,,,,,,,,,,,,,,,,,,50.3263623,12.5099651,2999999,,,,,
4080,https://www.sreality.cz/detail/prodej/dum/rodinny/nova-ves-nova-ves-/3370210892,"Nová Ves, okres Český Krumlov",cesky-krumlov,"rodinne-domy
",5 800 000 Kč za nemovitost (k jednání),06.10.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,2. podlaží z celkem 2,113.0,226,,1034.0,,,Ihned,Studna,,,"Septik, Jímka",,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,ZOO REALITY,1994.6666666666667,4274,Nothing,,,Okraj obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9481864,14.2470823,5800000,,,,,
5430,https://www.sreality.cz/detail/prodej/dum/rodinny/ohnistany--/1472865868,"Ohnišťany, okres Hradec Králové",hradec-kralove,"rodinne-domy
",4 499 000 Kč za nemovitost,21.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,,,103,,1251.0,,,Ihned,Dálkový vodovod,Ústřední elektrické,Plynovod,,"Vlak, Dálnice, Silnice, Autobus",,Třída G - Mimořádně nehospodárná,,,"Broker Consulting, a.s.",1772.5,5684,Nothing,,,,1.0,,2012.0,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,50.3295312,15.510981,4499000,,,,,
2941,https://www.sreality.cz/detail/prodej/dum/chalupa/nimerice-nimerice-/4033297244,"Niměřice, okres Mladá Boleslav",mlada-boleslav,"chalupy
",4 300 000 Kč za nemovitost,17.10.2022,Kamenná,Dobrý,,Přízemní,2. podlaží,167.0,167,135.0,1481.0,698.0,1,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Septik,MHD,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,,KUZO Partners s.r.o.,2505.5454545454545,3078,cena nezahrnuje realitní a právní servis,400V,,,,1.0,,0.0,,,,,,,,4 300 000 Kč za nemovitost,4 995 000 Kč,,,,,,,,,,,,,,,,,,,,,50.3957784,14.8084395,4300000,,,,,
585,https://www.sreality.cz/detail/prodej/dum/chata/lhota-pod-radcem-lhota-pod-radcem-/71685964,"Lhota pod Radčem, okres Rokycany",rokycany,"chaty
",2 150 000 Kč za nemovitost,30.09.2022,Dřevěná,Dobrý,Samostatný,Patrový,2,36.0,50,,538.0,,,Ihned,Místní zdroj,,,,,Betonová,Třída G - Mimořádně nehospodárná,,1,"Broker Consulting, a.s.",3031.583333333333,609,Nothing,230V,,,,1.0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,49.8273816,13.7107461,2150000,,,,,
1838,https://www.sreality.cz/detail/prodej/dum/chata/kytlice-falknov-/1670825548,"Kytlice - Falknov, okres Děčín",decin,"chaty
",5 303 000 Kč za nemovitost,18.10.2022,Dřevěná,Dobrý,Samostatný,Přízemní,1,64.0,45,,765.0,,,,Dálkový vodovod,,,Septik,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,RE/MAX Gold,1411.7,1932,vč. real. a právního servisu,"230V, 400V",,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8124872,14.5353144,5303000,,,,,
2883,https://www.sreality.cz/detail/prodej/dum/chata/kutna-hora-perstejnec-/3134830156,"Kutná Hora - Perštejnec, okres Kutná Hora",kutna-hora,"chaty
",1 900 000 Kč za nemovitost (k jednání),21.10.2022,Dřevěná,Po rekonstrukci,Samostatný,Patrový,3 včetně 1 podzemního,,33,,381.0,,12 m2,,Místní zdroj,"Lokální tuhá paliva, Lokální elektrické",,Septik,Silnice,,,,1,4fin Reality Better together Kolín,2179.5882352941176,3020,"včetně zajištění financování, včetně provize, včetně právního servisu, cena k jednání",230V,,Klidná část obce,2.0,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.92883,15.27285,1900000,True,True,,,True
3569,https://www.sreality.cz/detail/prodej/dum/rodinny/praha-zizkov-za-vackovem/2020501596,"Za Vackovem, Praha 3 - Žižkov",praha-3,"rodinne-domy
",9 499 000 Kč za nemovitost,02.09.2022,Cihlová,K demolici,Řadový,Přízemní,2 včetně 1 podzemního,69.0,69,69.0,99.0,,1,Ihned,Dálkový vodovod,,Plynovod,Veřejná kanalizace,MHD,Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,ČESKÁ REALITNÍ SPOLEČNOST,700.6666666666666,3733,Nothing,230V,,Centrum obce,,,,0.0,,,"Internet, Kabelová televize",,,,,,,,,,,,,,,,,,,,,,,,,,,50.0871712,14.4873393,9499000,,,,,
485,https://www.sreality.cz/detail/prodej/dum/rodinny/stribro-stribro-plzenska/2252113740,"Plzeňská, Stříbro",tachov,"rodinne-domy
",6 600 000 Kč za nemovitost,14.09.2022,Cihlová,Ve výstavbě,Samostatný,Přízemní,,,170,,1150.0,,,Ihned,Dálkový vodovod,,,Veřejná kanalizace,"Dálnice, Silnice, Autobus",,Třída G - Mimořádně nehospodárná,,,"Broker Consulting, a.s.",1262.642857142857,508,Nothing,230V,,,,1.0,,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,49.744507,13.017382,6600000,,,,,
3965,https://www.sreality.cz/detail/prodej/dum/vila/praha-ujezd-nad-lesy-dobrichovska/3153099100,"Dobřichovská, Praha 9 - Újezd nad Lesy",praha-9,"vily
",14 990 000 Kč za nemovitost,20.10.2022,Cihlová,Novostavba,Samostatný,Patrový,2,141.0,192,192.0,496.0,320.0,,,Dálkový vodovod,"Ústřední plynové, Podlahové",,Veřejná kanalizace,,Asfaltová,,,0,Bidli,633.8125,4147,Nothing,,,Klidná část obce,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.075033,14.6543206,14990000,,,,,
1738,https://www.sreality.cz/detail/prodej/dum/rodinny/horni-podluzi-horni-podluzi-/3896231500,"Horní Podluží, okres Děčín",decin,"rodinne-domy
",2 500 000 Kč za nemovitost,19.10.2022,Smíšená,Před rekonstrukcí,Samostatný,Patrový,2,240.0,200,,719.0,,,Ihned,,,,,,,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,Částečně,MI Estate,1942.176470588236,1827,Nothing,,,Klidná část obce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8814943,14.5455731,2500000,,,,,
4318,https://www.sreality.cz/detail/prodej/dum/rodinny/jindrichuv-hradec--/3561670220,"Jindřichův Hradec, okres Jindřichův Hradec",jindrichuv-hradec,"rodinne-domy
",4 950 000 Kč za nemovitost,03.10.2022,Cihlová,Velmi dobrý,Řadový,Patrový,3 včetně 1 podzemního,,736,,69.0,,,,Dálkový vodovod,Jiné,,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,2474.8,4524,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1443265,15.003354,4950000,,,,,
5113,https://www.sreality.cz/detail/prodej/dum/rodinny/trest-trest-cenkovska/2339026764,"Čenkovská, Třešť",jihlava,"rodinne-domy
",8 516 000 Kč za nemovitost,08.09.2022,Cihlová,Po rekonstrukci,Rohový,Patrový,2 včetně 1 podzemního,,188,,301.0,,1,Ihned,Dálkový vodovod,Lokální tuhá paliva,,Veřejná kanalizace,"Vlak, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,,1,"Broker Consulting, a.s.",628.625,5345,Nothing,"230V, 400V",,,1.0,1.0,2018.0,0.0,,,Internet,,,,0,,,,,,,,,,,,,,,,,,,,,,,49.2889027,15.4791685,8516000,,,,,
4439,https://www.sreality.cz/detail/prodej/dum/chata/vojnikov-vojnikov-/3426866764,"Vojníkov, okres Písek",pisek,"chaty
",2 590 000 Kč za nemovitost,30.08.2022,Dřevěná,Velmi dobrý,Samostatný,Patrový,3 včetně 1 podzemního,,55,,437.0,,,,Místní zdroj,Lokální tuhá paliva,,,Silnice,Neupravená,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,1,M&M reality,2623.076923076923,4649,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"230V, 400V",,Klidná část obce,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3536744,14.1770518,2590000,,,,,
2281,https://www.sreality.cz/detail/prodej/dum/rodinny/klobuky-klobuky-/3844011596,"Klobuky, okres Kladno",kladno,"rodinne-domy
",2 999 000 Kč za nemovitost,20.10.2022,Cihlová,Před rekonstrukcí,,Přízemní,,98.0,70,,928.0,516.0,,,Dálkový vodovod,Ústřední tuhá paliva,Plynovod,Septik,,,Třída G - Mimořádně nehospodárná,,,MAXIMA REALITY,533.4545454545455,2386,Nothing,"230V, 400V",,,1.0,,,,,,,,,,,2 999 000 Kč za nemovitost,3 100 000 Kč,,,,,,,,,,,,,,,,,,,,,50.2940082,13.9874826,2999000,,,,,
5488,https://www.sreality.cz/detail/prodej/dum/rodinny/librantice-librantice-/176277324,"Librantice, okres Hradec Králové",hradec-kralove,"rodinne-domy
",10 490 000 Kč za nemovitost,16.10.2022,Cihlová,Velmi dobrý,Samostatný,Přízemní,2,115.0,138,,994.0,,,,,,Individuální,ČOV pro celý objekt,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,,Částečně,RE/MAX Infinity,2501.5333333333333,5743,Nothing,,,Centrum obce,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2422648,15.9597444,10490000,,,,,
3068,https://www.sreality.cz/detail/prodej/dum/chalupa/bojanovice-mala-lecice-/1362601548,"Bojanovice - Malá Lečice, okres Praha-západ",praha-zapad,"chalupy
",4 800 000 Kč za nemovitost,12.10.2022,Cihlová,Dobrý,Samostatný,Patrový,,190.0,190,190.0,583.0,393.0,1,,Místní zdroj,Lokální tuhá paliva,,Jímka,"Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná,0.0,Částečně,SKS - Dobříš,3434.714285714286,3214,včetně provize realitní kanceláře,"230V, 400V",,Klidná část obce,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8211163,14.3329552,4800000,True,,,,
