,link,location,district,HouseType,total price,Update,Building,Object status,Location of the house,Home type,The floor,Built-up area,Usable area,Floor area,Land area,Garden area,Store,Move-in date,Water,Heating,Gas,Garbage,Transport,Communication,Energy efficiency of the building,Barrier-free,Equipment,companyName,proximityIndex,Index,Note on price,Electricity,Indicator of energy efficiency of the building,Object location,Parking,Garage,Year of reconstruction,Lift,Cena,Year of approval,Telecommunication,Certificate of energy performance of the building,Swimming pool,Number of flats,Housing costs,Discounted,Original price,Pool area,Ceiling height,Condition,Soil construction,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,Auction decree,Expert opinion.1,Inspection date,Sale start date,Minimum purchase price,The date of the 1st inspection,The date of the 2nd inspection,Date of completion of construction,Inspection date to,locationLat,locationLong,price,provize,právního,dph,poplatků,cena k jednání
5890,https://www.sreality.cz/detail/prodej/dum/chalupa/zabrodi-horni-rybniky-/3152787020,"Zábrodí - Horní Rybníky, okres Náchod",nachod,"chalupy
",9 500 000 Kč za nemovitost,17.10.2022,Smíšená,Velmi dobrý,,Patrový,,,229,,3037.0,,1,,,,,,,,Třída C - Úsporná,,1,Protsenko & Co.,2438.4444444444443,6158,Nothing,,,,1.0,,,,,,,,,,,,,,,Rezervováno,,,,,,,,,,,,,,,,,,50.448314,16.1384483,9500000,,,,,
4940,https://www.sreality.cz/detail/prodej/dum/rodinny/zizkovo-pole-zizkovo-pole-/3181705564,"Žižkovo Pole, okres Havlíčkův Brod",havlickuv-brod,"rodinne-domy
",9 999 000 Kč za nemovitost,06.10.2022,Smíšená,Po rekonstrukci,Samostatný,Patrový,2,300.0,300,300.0,1527.0,1227.0,20 m2,,Dálkový vodovod,"Lokální plynové, Lokální tuhá paliva",,Septik,"Silnice, Autobus",Asfaltová,,,1,Bidli,2724.2,5164,cena včetně provize a právního servisu,"230V, 400V",,Okraj obce,,1.0,,0.0,,,"Internet, Kabelová televize, Kabelové rozvody",,,,,,,,,,,,,,,,,,,,,,,,,,,49.6106332,15.7351319,9999000,True,True,,,
1934,https://www.sreality.cz/detail/prodej/dum/rodinny/rehenice-malesin-/877475660,"Řehenice - Malešín, okres Benešov",benesov,"rodinne-domy
",31 048 000 Kč za nemovitost,20.10.2022,Cihlová,Dobrý,Samostatný,Patrový,3,,186,186.0,16881.0,,,,Dálkový vodovod,,Plynovod,Veřejná kanalizace,,,,,,Duna House,2691.8125,2029,Nothing,"230V, 400V",,Klidná část obce,,,,,,1930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.866765,14.6444128,31048000,,,,,
1691,https://www.sreality.cz/detail/prodej/dum/rodinny/rumburk-rumburk-3-dolni-krecany-/488822604,"Rumburk - Rumburk 3-Dolní Křečany, okres Děčín",decin,"rodinne-domy
",9 100 000 Kč za nemovitost,30.09.2022,Smíšená,Velmi dobrý,Samostatný,Patrový,2,220.0,330,330.0,801.0,581.0,,Ihned,Dálkový vodovod,Lokální plynové,,Jímka,,,,0.0,1,eDO reality,1002.8235294117648,1774,Nothing,"230V, 400V",,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9569277,14.5507669,9100000,,,,,
2739,https://www.sreality.cz/detail/prodej/dum/rodinny/cerhenice-cerhenice-na-vinici/2910246732,"Na Vinici, Cerhenice",kolin,"rodinne-domy
",3 500 000 Kč za nemovitost,17.10.2022,Cihlová,Ve výstavbě,Samostatný,Přízemní,1,66.0,50,50.0,776.0,,,Ihned,Dálkový vodovod,,,"Veřejná kanalizace, Septik","Vlak, Autobus",,Třída B - Velmi úsporná,0.0,,"Olimax REAL s.r.o. – Qara, s.r.o.",1797.357142857143,2867,včetně provize a všech poplatků spjatých s převodem,230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0680002,15.0642134,3500000,True,,,True,
4996,https://www.sreality.cz/detail/prodej/dum/chalupa/skryje-skryje-/3386570572,"Skryje, okres Havlíčkův Brod",havlickuv-brod,"chalupy
",3 590 000 Kč za nemovitost,17.10.2022,Cihlová,Před rekonstrukcí,Samostatný,Přízemní,,513.0,150,,984.0,,,,Dálkový vodovod,"Lokální elektrické, Ústřední plynové",,"Veřejná kanalizace, Septik",,,,,1,Bidli,2229.285714285714,5221,Nothing,,,Klidná část obce,,,,0.0,,,,,,,,3 590 000 Kč za nemovitost,3 790 000 Kč,,,,,,,,,,,,,,,,,,,,,49.8430247,15.4867766,3590000,,,,,
1166,https://www.sreality.cz/detail/prodej/dum/rodinny/lubenec-lubenec-/2699011916,"Lubenec, okres Louny",louny,"rodinne-domy
",4 630 000 Kč za nemovitost,21.10.2022,Cihlová,Velmi dobrý,Samostatný,Patrový,,,206,,838.0,,1,,Dálkový vodovod,Ústřední plynové,,Veřejná kanalizace,Dálnice,,Třída D - Méně úsporná č. 148/2007 Sb. podle vyhlášky,1.0,,Czech Smart Company,580.5833333333334,1218,"včetně provize, včetně právního servisu",230V,"141,0 kWh/m^2 za rok",,,,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1320738,13.313189,4630000,True,True,,,
901,https://www.sreality.cz/detail/prodej/dum/rodinny/domazlice-bezdekovske-predmesti-/3444811340,"Domažlice - Bezděkovské Předměstí, okres Domažlice",domazlice,"rodinne-domy
",3 299 000 Kč za nemovitost,21.10.2022,Cihlová,Dobrý,Samostatný,Přízemní,,,430,,817.0,,1,,Místní zdroj,Ústřední tuhá paliva,,Septik,"Vlak, MHD, Autobus",,Třída G - Mimořádně nehospodárná,,,Bydlení na doporučení,1408.1764705882354,938,Nothing,230V,,,,5.0,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4389627,12.9382679,3299000,,,,,
4006,https://www.sreality.cz/detail/prodej/dum/chata/dasny-dasny-/967366476,"Dasný, okres České Budějovice",ceske-budejovice,"chaty
",5 500 000 Kč za nemovitost,18.10.2022,Dřevěná,Velmi dobrý,Samostatný,Patrový,2,,130,,940.0,,,,Místní zdroj,"Lokální tuhá paliva, Lokální elektrické",,Septik,"Silnice, Autobus",,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,,0,M&M reality,2684.3888888888887,4195,V případě více zájemců může RK využít pro výběr kupujícího formu aukce.,"120V, 230V, 400V",,Klidná část obce,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0192314,14.4074115,5500000,,,,,
3665,https://www.sreality.cz/detail/prodej/dum/rodinny/praha-radotin-matejovskeho/364742748,"Matějovského, Praha 5 - Radotín",praha-5,"rodinne-domy
",12 390 000 Kč za nemovitost,30.09.2022,Cihlová,Před rekonstrukcí,Řadový,Patrový,3. podlaží z celkem 3 včetně 1 podzemního,221.0,300,300.0,332.0,,1,Ihned,Dálkový vodovod,Ústřední plynové,Plynovod,Veřejná kanalizace,"Vlak, Dálnice, Silnice, MHD, Autobus",Asfaltová,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,,0,1. Zbraslavská realitní kancelář,914.3684210526316,3831,Nothing,400V,,Klidná část obce,1.0,,,0.0,,,"Telefon, Internet",,,,,,,,,,,,,,,,,,,,,,,,,,,49.9851925,14.3648949,12390000,,,,,
